Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5182,Unknown,5,Total Phosphorus,0.104,mg/L,,,,,,104,ppb
140,RW16-5183,Unknown,5,Nitrate-Nitrite,0.377,mg/L,,,,,,0.377,mg/L
140,RW16-5183,Unknown,5,Total Phosphorus,0.107,mg/L,,,,,,107,ppb
140,RW16-5184,Unknown,5,Chloride,8,mg/L,,,,,,8,mg/L
140,RW16-5184,Unknown,5,Sulfate,12.6,mg/L,,,,,,12.6,mg/L
140,RW16-5184,Unknown,5,TSS,403.5,mg/L,,,,,,403.5,mg/L
140,RW16-5184,Unknown,5,Nitrate-Nitrite,0.057,mg/L,,,,,,0.0565,mg/L
140,RW16-5184,Unknown,5,Total Phosphorus,2.48,mg/L,,,,,,2480,ppb
140,RW16-5185,Unknown,5,Chloride,1.77,mg/L,,,,,,1.77,mg/L
140,RW16-5185,Unknown,5,Sulfate,4.84,mg/L,,,,,,4.84,mg/L
140,RW16-5185,Unknown,5,TSS,12.6,mg/L,,,,,,12.55,mg/L
140,RW16-5185,Unknown,5,Nitrate-Nitrite,0.104,mg/L,,,,,,0.104,mg/L
140,RW16-5185,Unknown,5,Total Phosphorus,0.0516,mg/L,,,,,,51.6,ppb
140,RW16-5186,Unknown,5,Chloride,8.97,mg/L,,,,,,8.97,mg/L
140,RW16-5186,Spike Set,65,Chloride,8.75,mg/L,,,,,,8.75,mg/L
140,RW16-5186,Unknown,5,Sulfate,427,mg/L,Y,,,,,427,mg/L
140,RW16-5186,Spike Set,65,Sulfate,306,mg/L,,,,,,306,mg/L
140,RW16-5186,Unknown,5,TSS,21.8,mg/L,,,,,,21.75,mg/L
140,RW16-5186,Unknown,5,Nitrate-Nitrite,0.062,mg/L,,,,,,0.0624,mg/L
140,RW16-5186,Spike Set,65,Nitrate-Nitrite,0.059,mg/L,,,,,,0.0587,mg/L
140,RW16-5186,Unknown,5,Total Phosphorus,0.086,mg/L,,,,,,86,ppb
140,RW16-5186,Spike Set,65,Total Phosphorus,0.0442,mg/L,,,,,,44.2,ppb
140,RW16-5186,Spike Set,65,Chloride,17.8,mg/L,,90.4%,,,,17.8,mg/L
140,RW16-5186,Spike Set,65,Sulfate,291,mg/L,,,,,,291,mg/L
